État physique;Nom du produit (sur packaging);IUPAC - Formule Brute;Quantités en stock;Unité;Étagère;Pictogrammes;Mars 2025;Juillet 2025;Juillet 2026;Besoin URGENT;;;;;;;;;;
SOLIDE;CUIVRE II SULFATE ANHYDRE;SULFATE DE CUIVRE (II) ANHYDRE - CuSO4;125;g;5 LP;SGH07 SGH09;125;;;;;;;;;;;;;
SOLIDE;CUIVRE II SULFATE PENTAHYDRATÉ;SULFATE DE CUIVRE (II)  - CuSO4;1700;g;5 LP;SGH07 SGH09;1700;;;;;;;;;;;;;
SOLIDE;CUIVRE II SULFATE PENTAHYDRATÉ;SULFATE DE CUIVRE (II)  - CuSO4;200;g;labo;SGH07 SGH09;200;;;;;;;;;;;;;
SOLIDE;CUIVRE OXYDE ANHYDRE;OXYDE DE CUIVRE (II) - CuO;0;g;;SGH07 SGH09;;;;;;;;;;;;;;
SOLIDE;CUIVRE OXYDE DE CUIVRE EN PLANURE ANHYDRE;OXYDE DE CUIVRE (II) - CuO;140;g;6;SGH07 SGH09;140;;;;;;;;;;;;;
SOLIDE;CUIVRE OXYDE NOIR;OXYDE DE CUIVRE (II) - CuO;50;g;6;SGH07 SGH09;50;;;;;;;;;;;;;
SOLIDE;CUIVRE OXYDE ROUGE;OXYDE DE CUIVRE (I) - Cu2O;250;g;6;SGH07 SGH09;250;;;;;;;;;;;;;
SOLIDE;CUIVRE POUDRE;CUIVRE - Cu;50;g;6;NON;50;;;;;;;;;;;;;
SOLIDE;CUIVRE SULFATE ANHYDRE;SULFATE DE CUIVRE (II) ANHYDRE - CuSO4;200;g;6;SGH07 SGH09;200;;;;;;;;;;;;;
SOLIDE;CUIVRE SULFATE PENTAHYDRATÉ;SULFATE DE CUIVRE (II)  - CuSO4;2300;g;6;SGH07 SGH09;2300;;;;;;;;;;;;;
SOLIDE;CUO + C;;10;g;5 LP;;10;;;;;;;;;;;;;
LIQUIDE;CYCLOHEXANE;CYCLOHEXANE - C6H12;3000;mL;3;SGH02 SGH07 SGH08 SGH09;3000;;;;;;;;;;;;;
LIQUIDE;CYCLOHEXANONE;CYCLOHEXANONE - C6H10O;500;mL;3;SGH02 SGH07;500;;;;;;;;;;;;;
LIQUIDE;CYNAMALDEHYDE;;80;mL;3;SGH07;80;;;;;;;;;;;;;
LIQUIDE;DIACÉTONE;DIACÉTONE - C6H10O2;75;mL;3;SGH02 SGH07;75;;;;;;;;;;;;;
LIQUIDE;DICLOROMETHANE;DICHLOROMÉTHANE - CH2Cl2;1200;mL;3;SGH08;1200;;;;;;;;;;;;;
LIQUIDE;DIETHYLOXYDE ETHOXY ETHANE;ETHER DIETHYLIQUE;0;mL;;SGH02 SGH07;;;;;;;;;;;;;;
LIQUIDE;DI-IODE 0,05 MOL/L;DIIODE - I2;500;mL;6;SGH07 SGH09;500;;;;;;;;;;;;;
LIQUIDE;DINITROPHENYLHYDRAZINE;DINITROPHÉNYLHYDRAZINE - C6H4(NHNH2)NO2;0;mL;;SGH02 SGH07;;;;;;;;;;;;;;
SOLIDE;DIPHENYLAMINE;DIPHÉNYLAMINE - C12H11N;0;g;;SGH06 SGH08 SGH09;;;;;;;;;;;;;;
LIQUIDE;EAU IODÉE;;400;mL;labo;;400;;;;;;;;;;;;;
SOLIDE;EDTA;ACIDE ÉTHYLÈNEDIAMINETÉTRAACÉTIQUE - C10H16N2O8;180;g;5 LP;;180;;;;;;;;;;;;;
SOLIDE;EDTA;ACIDE ÉTHYLÈNEDIAMINETÉTRAACÉTIQUE - C10H16N2O8;250;g;4;;250;;;;;;;;;;;;;
LIQUIDE;EOSINE 2 G/L;;600;mL;;SGH07;600;;;;;;;;;;;;;
SOLIDE;EOSINE JAUNÂTRE;;10;g;6;SGH07;10;;;;;;;;;;;;;
SOLIDE;ERIOCHROME BLACK T (NET);;5;g;5 LP;SGH07 SGH09;5;;;;;;;;;;;;;
SOLIDE;ETAIN II CHLORURE;CHLORURE D'ÉTAIN (II) - SNCL2;450;g;7;;450;;;;;;;;;;;;;
SOLIDE;ÉTAIN II CHLORURE;CHLORURE D'ÉTAIN (II) - SNCL2;250;g;5 LP;;250;;;;;;;;;;;;;
LIQUIDE;ETHANAL;ETHANAL - C2H4O;30;mL;3;SGH02 SGH07 SGH08;30;;;;;;;;;;;;;
LIQUIDE;ETHANOATE DE LINALYL;ACÉTATE DE LYNALYLE;0;mL;;SGH07;;;;;;;;;;;;;;
LIQUIDE;ETHANOL 95%;ÉTHANOL - C2H5OH;500;mL;3;SGH02 SGH07 SGH08;500;;;;;;;;;;;;;
